time, autocorrelation 
5019, -0.000341
5020, -0.000613
5021, -0.000863
5022, -0.001096
5023, -0.001255
5024, -0.001404
5025, -0.001593
5026, -0.001776
5027, -0.001983
5028, -0.002275
5029, -0.002577
5030, -0.002891
5031, -0.003110
5032, -0.003512
5033, -0.003902
5034, -0.004287
5035, -0.004668
5036, -0.004958
5037, -0.005399
5038, -0.005673
5039, -0.005994
5040, -0.006201
5041, -0.006375
5042, -0.006449
5043, -0.006449
5044, -0.006547
5045, -0.006777
5046, -0.006952
5047, -0.007050
5048, -0.007113
5049, -0.007127
5050, -0.007206
5051, -0.007233
5052, -0.007245
5053, -0.007146
5054, -0.007074
5055, -0.006957
5056, -0.006912
5057, -0.006846
5058, -0.006903
5059, -0.007040
5060, -0.007048
5061, -0.007130
5062, -0.007233
5063, -0.007300
5064, -0.007431
5065, -0.007535
5066, -0.007680
5067, -0.007905
5068, -0.008182
5069, -0.008469
5070, -0.008746
5071, -0.009042
5072, -0.009244
5073, -0.009492
5074, -0.009733
5075, -0.009940
5076, -0.010122
5077, -0.010454
5078, -0.010789
5079, -0.011092
5080, -0.011319
5081, -0.011493
5082, -0.011721
5083, -0.011860
5084, -0.011945
5085, -0.012002
5086, -0.011967
5087, -0.011937
5088, -0.011886
5089, -0.011745
5090, -0.011564
5091, -0.011337
5092, -0.011186
5093, -0.011003
5094, -0.010737
5095, -0.010447
5096, -0.010205
5097, -0.010141
5098, -0.010093
5099, -0.010109
5100, -0.010090
5101, -0.010126
5102, -0.010267
5103, -0.010468
5104, -0.010776
5105, -0.011002
5106, -0.011127
5107, -0.011222
5108, -0.011345
5109, -0.011574
5110, -0.011763
5111, -0.011935
5112, -0.012059
5113, -0.012099
5114, -0.012203
5115, -0.012354
5116, -0.012550
5117, -0.012691
5118, -0.012873
5119, -0.013059
5120, -0.013220
5121, -0.013230
5122, -0.013323
5123, -0.013222
5124, -0.013057
5125, -0.012984
5126, -0.012888
5127, -0.012824
5128, -0.012779
5129, -0.012670
5130, -0.012554
5131, -0.012490
5132, -0.012316
5133, -0.012104
5134, -0.011848
5135, -0.011524
5136, -0.011200
5137, -0.010848
5138, -0.010442
5139, -0.009938
5140, -0.009369
5141, -0.008807
5142, -0.008274
5143, -0.007761
5144, -0.007082
5145, -0.006521
5146, -0.005987
5147, -0.005420
5148, -0.004808
5149, -0.004232
5150, -0.003756
5151, -0.003182
5152, -0.002649
5153, -0.002187
5154, -0.001674
5155, -0.001309
5156, -0.000804
5157, -0.000279
5158, 0.000377
5159, 0.001043
5160, 0.001663
5161, 0.002203
5162, 0.002767
5163, 0.003251
5164, 0.003729
5165, 0.004311
5166, 0.004863
5167, 0.005606
5168, 0.006165
5169, 0.006665
5170, 0.007165
5171, 0.007730
5172, 0.008286
5173, 0.008971
5174, 0.009588
5175, 0.010223
5176, 0.010875
5177, 0.011454
5178, 0.012061
5179, 0.012596
5180, 0.013028
5181, 0.013418
5182, 0.013828
5183, 0.014206
5184, 0.014473
5185, 0.014790
5186, 0.015255
5187, 0.015690
5188, 0.015978
5189, 0.016254
5190, 0.016445
5191, 0.016625
5192, 0.016927
5193, 0.017277
5194, 0.017609
5195, 0.017869
5196, 0.018017
5197, 0.018104
5198, 0.018116
5199, 0.018159
5200, 0.018195
5201, 0.018117
5202, 0.017973
5203, 0.017779
5204, 0.017600
5205, 0.017471
5206, 0.017494
5207, 0.017468
5208, 0.017623
5209, 0.017671
5210, 0.017756
5211, 0.017842
5212, 0.018082
5213, 0.018378
5214, 0.018635
5215, 0.018974
5216, 0.019337
5217, 0.019762
5218, 0.020212
5219, 0.020541
5220, 0.020821
5221, 0.020997
5222, 0.021181
5223, 0.021244
5224, 0.021388
5225, 0.021473
5226, 0.021491
5227, 0.021460
5228, 0.021717
5229, 0.021987
5230, 0.022197
5231, 0.022285
5232, 0.022332
5233, 0.022257
5234, 0.022153
5235, 0.022000
5236, 0.021697
5237, 0.021347
5238, 0.021021
5239, 0.020765
5240, 0.020569
5241, 0.020200
5242, 0.019731
5243, 0.019391
5244, 0.018965
5245, 0.018580
5246, 0.018296
5247, 0.018052
5248, 0.017713
5249, 0.017445
5250, 0.017248
5251, 0.016933
5252, 0.016674
5253, 0.016472
5254, 0.016218
5255, 0.016048
5256, 0.015885
5257, 0.015821
5258, 0.015679
5259, 0.015531
5260, 0.015405
5261, 0.015227
5262, 0.015022
5263, 0.014952
5264, 0.014838
5265, 0.014726
5266, 0.014658
5267, 0.014636
5268, 0.014630
5269, 0.014522
5270, 0.014487
5271, 0.014432
5272, 0.014324
5273, 0.014294
5274, 0.014010
5275, 0.013616
5276, 0.013331
5277, 0.012960
5278, 0.012537
5279, 0.012191
5280, 0.011744
5281, 0.011272
5282, 0.010761
5283, 0.010142
5284, 0.009401
5285, 0.008690
5286, 0.007940
5287, 0.007204
5288, 0.006367
5289, 0.005558
5290, 0.004670
5291, 0.003861
5292, 0.003132
5293, 0.002414
5294, 0.001754
5295, 0.001057
5296, 0.000357
5297, -0.000377
5298, -0.001141
5299, -0.002014
5300, -0.002949
5301, -0.003887
5302, -0.004753
5303, -0.005730
5304, -0.006871
5305, -0.007892
5306, -0.008916
5307, -0.009890
5308, -0.010748
5309, -0.011517
5310, -0.012353
5311, -0.013274
5312, -0.014127
5313, -0.014963
5314, -0.015844
5315, -0.016860
5316, -0.017808
5317, -0.018819
5318, -0.019689
5319, -0.020400
5320, -0.021096
5321, -0.021831
5322, -0.022509
5323, -0.023139
5324, -0.023588
5325, -0.024052
5326, -0.024487
5327, -0.024812
5328, -0.025209
5329, -0.025519
5330, -0.025900
5331, -0.026303
5332, -0.026478
5333, -0.026587
5334, -0.026578
5335, -0.026587
5336, -0.026578
5337, -0.026397
5338, -0.026252
5339, -0.026027
5340, -0.025839
5341, -0.025745
5342, -0.025609
5343, -0.025394
5344, -0.025189
5345, -0.024973
5346, -0.024750
5347, -0.024445
5348, -0.023967
5349, -0.023648
5350, -0.023257
5351, -0.022857
5352, -0.022592
5353, -0.022371
5354, -0.022298
5355, -0.022297
5356, -0.022374
5357, -0.022476
5358, -0.022705
5359, -0.022936
5360, -0.023240
5361, -0.023544
5362, -0.023655
5363, -0.023698
5364, -0.023713
5365, -0.023642
5366, -0.023630
5367, -0.023580
5368, -0.023561
5369, -0.023564
5370, -0.023716
5371, -0.023789
5372, -0.023876
5373, -0.023975
5374, -0.024132
5375, -0.024292
5376, -0.024345
5377, -0.024390
5378, -0.024339
5379, -0.024304
5380, -0.024293
5381, -0.024250
5382, -0.024267
5383, -0.024239
5384, -0.024145
5385, -0.024081
5386, -0.023955
5387, -0.023909
5388, -0.023831
5389, -0.023776
5390, -0.023758
5391, -0.023566
5392, -0.023303
5393, -0.023082
5394, -0.022957
5395, -0.022810
5396, -0.022653
5397, -0.022573
5398, -0.022570
5399, -0.022539
5400, -0.022483
5401, -0.022386
5402, -0.022338
5403, -0.022272
5404, -0.022134
5405, -0.022048
5406, -0.022065
5407, -0.022034
5408, -0.021975
5409, -0.021922
5410, -0.021819
5411, -0.021746
5412, -0.021735
5413, -0.021570
5414, -0.021434
5415, -0.021204
5416, -0.020901
5417, -0.020716
5418, -0.020453
5419, -0.020183
5420, -0.019899
5421, -0.019626
5422, -0.019382
5423, -0.019041
5424, -0.018761
5425, -0.018282
5426, -0.017806
5427, -0.017250
5428, -0.016819
5429, -0.016409
5430, -0.016019
5431, -0.015533
5432, -0.015112
5433, -0.014742
5434, -0.014376
5435, -0.014047
5436, -0.013807
5437, -0.013442
5438, -0.013129
5439, -0.012889
5440, -0.012565
5441, -0.012139
5442, -0.011821
5443, -0.011502
5444, -0.011175
5445, -0.010825
