time, local energy
934, -3.791483
935, -3.796174
937, -3.795841
938, -3.797009
939, -3.797536
940, -3.805278
941, -3.812456
942, -3.811469
944, -3.811931
945, -3.806996
946, -3.805481
947, -3.800469
948, -3.804356
949, -3.804693
950, -3.811369
951, -3.807179
952, -3.808260
953, -3.802864
954, -3.800424
955, -3.792163
956, -3.785879
958, -3.784856
959, -3.778633
960, -3.776578
961, -3.776010
962, -3.779084
963, -3.780555
964, -3.777455
966, -3.778765
967, -3.781518
968, -3.786392
969, -3.783916
970, -3.785947
971, -3.779492
972, -3.778973
974, -3.784090
975, -3.788092
976, -3.778135
977, -3.786695
978, -3.790877
979, -3.790065
980, -3.778731
981, -3.769003
983, -3.774400
984, -3.773541
986, -3.770846
987, -3.762620
988, -3.755693
989, -3.768779
991, -3.772936
992, -3.779811
993, -3.785977
994, -3.777684
995, -3.771974
996, -3.771245
997, -3.772622
998, -3.770985
999, -3.773389
1000, -3.772736
1001, -3.776565
1002, -3.782344
1003, -3.790329
1004, -3.797091
1006, -3.794116
1007, -3.801990
1008, -3.791165
1009, -3.791335
1010, -3.798624
1011, -3.803918
1012, -3.816571
1013, -3.817106
1016, -3.815272
1017, -3.816174
1018, -3.807747
1019, -3.816127
1020, -3.831073
1021, -3.822157
1022, -3.817451
1023, -3.827602
1026, -3.836935
1028, -3.823740
1030, -3.825015
1032, -3.828150
1033, -3.829898
1034, -3.826724
1036, -3.826225
1037, -3.829014
1038, -3.827621
1040, -3.834570
1041, -3.841085
1044, -3.847046
1047, -3.835986
1048, -3.839970
1049, -3.851052
1050, -3.863003
1051, -3.858738
1053, -3.852841
1054, -3.865439
1055, -3.874325
1057, -3.878717
1058, -3.886591
1059, -3.893037
1060, -3.900284
1061, -3.895094
1063, -3.898634
1064, -3.886520
1065, -3.889558
1066, -3.892106
1067, -3.892300
1068, -3.898063
1069, -3.888735
1070, -3.890030
1071, -3.889009
1072, -3.890536
1073, -3.883192
1074, -3.882808
1075, -3.882398
1076, -3.879035
1077, -3.877770
1078, -3.875006
1079, -3.873038
1080, -3.870934
1081, -3.859339
1082, -3.853827
1083, -3.861871
1084, -3.853996
1085, -3.845727
1086, -3.847723
1087, -3.851595
1089, -3.843959
1090, -3.841669
1091, -3.841207
1093, -3.838868
1094, -3.843254
1095, -3.843090
1096, -3.849730
1097, -3.850383
1098, -3.863961
1099, -3.865889
1100, -3.871088
1102, -3.866934
1103, -3.869297
1105, -3.872571
1106, -3.870965
1107, -3.864276
1109, -3.855393
1112, -3.856097
1113, -3.862825
1115, -3.853571
1116, -3.854308
1117, -3.848748
1118, -3.853483
1119, -3.851352
1121, -3.849428
1123, -3.848800
1124, -3.842550
1125, -3.846327
1127, -3.844139
1129, -3.835402
1130, -3.839122
1131, -3.836835
1132, -3.837718
1133, -3.832029
1137, -3.826189
1139, -3.822410
1140, -3.822168
1141, -3.827410
1142, -3.818319
1144, -3.820764
1147, -3.833212
1148, -3.834804
1149, -3.843495
1150, -3.860220
1152, -3.858015
1154, -3.862998
1155, -3.863812
1157, -3.875481
1158, -3.874010
1159, -3.879479
1160, -3.882311
1161, -3.872256
1162, -3.866839
1163, -3.855964
1165, -3.849248
1166, -3.856381
1168, -3.839241
1169, -3.829024
1171, -3.817759
1172, -3.813430
1175, -3.796346
1177, -3.802744
1179, -3.810662
1180, -3.803704
1181, -3.808740
1182, -3.809933
1185, -3.820535
1186, -3.835260
1187, -3.850577
1188, -3.835429
1189, -3.850493
1190, -3.830432
1193, -3.833179
1194, -3.835440
1195, -3.834240
1196, -3.843543
1197, -3.846635
1199, -3.835391
1201, -3.836104
1202, -3.816819
1203, -3.821387
1204, -3.829318
1205, -3.829460
1206, -3.833340
1207, -3.855723
1208, -3.852253
1209, -3.860637
1210, -3.853726
1212, -3.864362
1213, -3.870482
1214, -3.867579
1216, -3.849996
1217, -3.861441
1218, -3.828848
1219, -3.842370
1220, -3.837954
1221, -3.828153
1222, -3.817175
1224, -3.812639
1225, -3.833295
1226, -3.830177
1231, -3.815269
1233, -3.838241
1237, -3.847502
1239, -3.823598
1243, -3.813479
1244, -3.809658
1245, -3.791575
1246, -3.834363
1247, -3.884272
1248, -3.879394
1250, -3.914692
1251, -3.745304
1252, -3.720238
1253, -3.689022
1255, -3.834077
1257, -3.904376
1258, -3.893524
1261, -3.833495
1262, -3.728609
1264, -3.767553
1265, -3.731880
1266, -3.723738
1267, -3.743273
1268, -3.740953
1269, -3.728925
1270, -3.732775
1272, -3.775333
1273, -3.765813
1276, -3.773986
1277, -3.774694
1278, -3.803025
1280, -3.843292
1281, -3.848871
1282, -3.835824
1283, -3.830798
1285, -3.816993
1286, -3.825513
1287, -3.881453
1288, -3.860780
1289, -3.857764
1290, -3.880674
1291, -3.858156
1292, -3.883234
1293, -3.856616
1297, -3.832869
1298, -3.843172
1299, -3.831749
1301, -3.840903
1303, -3.869174
1306, -3.898519
1308, -3.903735
1309, -3.886495
1310, -3.904894
1311, -3.912831
1312, -3.923686
1313, -3.915660
1314, -3.925513
1315, -3.912275
1316, -3.889099
1318, -3.843888
1319, -3.850405
1320, -3.858867
1321, -3.857882
1323, -3.831387
1324, -3.848047
1325, -3.848242
1326, -3.833200
1327, -3.854651
1329, -3.852057
1330, -3.882341
1333, -3.846041
1334, -3.843705
1335, -3.895103
1336, -3.857503
1337, -3.836161
1339, -3.908622
1340, -3.913277
1341, -3.883640
1342, -3.908929
1344, -3.911836
1346, -3.872544
1347, -3.611819
1348, -3.557014
1351, -3.446667
1353, -3.531597
1354, -3.688819
1356, -3.756817
1358, -3.828299
1359, -3.499023
1360, -3.505345
1361, -3.611616
1363, -3.637013
1364, -3.568131
1365, -3.511383
1369, -3.539319
1370, -3.520642
1371, -3.623778
1372, -3.859513
1373, -3.721543
1375, -3.766515
1378, -3.729396
1379, -3.742730
1381, -3.700222
1384, -3.784161
1386, -3.847576
1389, -3.747712
1390, -3.741011
1391, -3.761304
1392, -3.695728
1393, -3.668417
1394, -3.615627
1395, -3.585973
1396, -3.679394
1397, -3.646269
1398, -3.589923
1401, -3.534581
1402, -3.545340
1404, -3.606756
1405, -3.622631
1406, -3.585185
1407, -3.600600
1408, -3.606598
1409, -3.607208
1410, -3.594468
1413, -3.635766
1414, -3.742256
1416, -3.713164
1419, -3.757045
1422, -3.736491
1424, -3.804974
1425, -3.764206
1426, -3.773227
1427, -3.768282
1428, -3.700573
1429, -3.653982
1430, -3.647133
1431, -3.634423
1432, -3.621528
1433, -3.631968
1434, -3.617317
1435, -3.596063
1436, -3.571478
1437, -3.536451
1438, -3.529610
1439, -3.580554
1440, -3.555984
1441, -3.548778
1442, -3.575503
1444, -3.569305
1445, -3.571941
1446, -3.607880
1447, -3.597649
1449, -3.615948
1450, -3.628570
1451, -3.657747
1452, -3.653235
1454, -3.608166
1455, -3.587617
1456, -3.652257
1459, -3.627584
1460, -3.624410
1462, -3.664651
1463, -3.652199
1464, -3.642144
1465, -3.659763
1466, -3.636705
1468, -3.670209
1469, -3.726414
1470, -3.748581
1471, -3.721416
1472, -3.770071
1473, -3.725436
1474, -3.712138
1475, -3.733293
1476, -3.723843
1477, -3.661871
1478, -3.648201
1479, -3.649722
1480, -3.685612
1481, -3.686416
1482, -3.593679
1484, -3.548239
1486, -3.596629
1487, -3.587802
1488, -3.610195
1489, -3.592149
1491, -3.579764
1494, -3.602463
1495, -3.593218
1496, -3.639786
1497, -3.647877
1498, -3.542238
1500, -3.689683
1501, -3.730908
1502, -3.599057
1503, -3.496489
1504, -3.491780
1505, -3.512599
1506, -3.472632
1507, -3.493672
1508, -3.499485
1509, -3.489889
1510, -3.484577
1513, -3.426693
1514, -3.487657
1516, -3.398669
1517, -3.405479
1519, -3.334775
1520, -3.348165
1521, -3.356001
1522, -3.347324
1523, -3.363777
1524, -3.378211
1525, -3.443881
1527, -3.421467
1528, -3.470121
1530, -3.567840
1532, -3.524072
1534, -3.599438
1535, -3.546204
1536, -3.566564
1537, -3.465735
1538, -3.497599
1539, -3.424004
1540, -3.488375
1542, -3.475093
1543, -3.461456
1544, -3.416355
1545, -3.428483
1546, -3.402719
1547, -3.428077
1549, -3.418233
1550, -3.398022
1551, -3.350461
1552, -3.351937
1553, -3.274732
1554, -3.291474
1555, -3.282488
1558, -3.242149
1560, -3.259771
1561, -3.227364
1562, -3.182557
1565, -3.166316
1566, -3.150175
1567, -3.129410
1569, -3.104464
1570, -3.106932
1572, -3.117717
1575, -3.141994
1576, -3.142627
1577, -3.154573
1578, -3.136010
1579, -3.143582
1580, -3.150890
1581, -3.135609
1582, -3.144727
1584, -3.135282
1585, -3.123221
1586, -3.100330
1587, -3.088832
1588, -3.104687
1589, -3.107191
1590, -3.101749
1592, -3.060652
1593, -3.120819
1594, -3.184748
1595, -3.199910
1596, -3.118935
1597, -3.142336
1599, -3.170102
1600, -3.075392
1601, -3.079982
1603, -3.065118
1604, -3.003304
1605, -2.993774
1606, -2.940558
1607, -2.892940
1610, -2.920504
1611, -2.883125
1612, -2.936903
1613, -2.984690
1614, -2.976467
1615, -3.039050
1616, -3.134003
1617, -2.982068
1618, -3.043303
1619, -3.131149
1620, -3.532853
1621, -3.278678
1622, -3.101321
1623, -3.232865
1624, -3.438812
1625, -3.435173
1626, -3.418640
1627, -3.347408
1628, -3.423978
1629, -3.413698
1630, -3.471271
1631, -3.430311
1634, -3.426973
1635, -3.390719
1636, -3.340774
1637, -3.242667
1638, -3.229793
1639, -3.215927
1640, -3.248615
1641, -3.320503
1642, -3.269774
1643, -3.336368
1644, -3.234527
1645, -3.270248
1647, -3.207574
1648, -3.143100
1649, -3.158488
1650, -3.197986
1651, -3.162332
1652, -3.208805
1654, -3.136988
1656, -3.142417
1657, -3.118312
1658, -3.095170
1659, -3.076468
1660, -3.059843
1661, -3.007300
1662, -3.021355
1663, -2.989018
1665, -2.973114
1666, -2.990524
1667, -2.978259
1671, -2.943188
1673, -2.891364
1674, -2.942428
1675, -2.939883
1676, -2.948161
1677, -2.983552
1678, -2.963899
1679, -2.960341
1680, -2.892074
1681, -2.861875
1683, -2.858664
1684, -2.878235
1687, -2.873683
1689, -2.879595
1690, -2.901472
1691, -2.907639
1692, -2.879200
1693, -2.893884
1694, -2.836517
1697, -2.803057
1699, -2.787083
1700, -2.793952
1701, -2.758897
1702, -2.744124
1703, -2.785561
1704, -2.776200
1705, -2.783522
1706, -2.792657
1707, -2.921432
1708, -2.938930
1709, -2.855404
1710, -2.967653
1711, -2.974200
1712, -2.888663
1713, -2.885539
1714, -2.914191
1715, -3.012971
1716, -3.110894
1717, -3.061493
1718, -3.163325
1719, -3.070831
1721, -2.878209
1722, -2.730481
1724, -2.793076
1725, -2.755411
1727, -2.812456
1728, -3.057744
1729, -2.744017
1730, -3.220574
1733, -2.961977
1737, -2.769775
1738, -2.859410
1739, -2.734710
1740, -2.645890
1741, -2.541005
1744, -2.494984
1746, -2.525972
1747, -2.580943
1748, -2.624787
1750, -2.717232
1751, -2.739823
1752, -2.771853
1753, -2.766466
1755, -2.737099
1757, -2.757404
1758, -2.787589
1759, -2.849832
1761, -2.865098
1763, -2.907770
1764, -2.840304
1766, -2.827245
1767, -2.897243
1769, -2.742395
1770, -2.875268
1771, -2.772070
1772, -2.865298
1773, -2.979042
1774, -2.941382
1775, -2.997812
1776, -2.984173
1777, -3.016195
1778, -3.064940
1779, -3.304617
1781, -2.895324
1783, -2.733008
1784, -2.727637
1787, -2.687450
1788, -2.693600
1790, -2.684583
1791, -2.716203
1792, -2.726983
1793, -2.740181
1794, -2.780776
1796, -2.799237
1797, -2.819039
1798, -2.836671
1799, -2.885614
1801, -2.904068
1802, -3.052813
1804, -2.951744
1805, -2.838192
1806, -2.980792
1808, -2.941218
1810, -3.047085
1811, -3.087957
1812, -3.177040
1813, -3.388786
1814, -3.350594
1817, -3.419637
1818, -3.540256
1820, -3.489191
1823, -3.663671
1824, -3.506435
1825, -3.440248
1826, -3.330832
1829, -3.135314
1830, -3.074792
1832, -3.075896
1833, -3.115458
1834, -3.138644
1835, -3.024437
1837, -3.018490
1838, -2.993499
1840, -2.971882
1844, -3.001922
1846, -2.987527
1847, -2.882348
1848, -2.791390
1849, -2.851618
1850, -2.944470
1852, -3.027408
1853, -2.996258
1854, -2.912081
1855, -2.983597
1856, -2.920963
1857, -2.844434
1858, -2.905505
1859, -2.927553
1862, -2.648722
1864, -2.827576
1866, -2.693975
1867, -2.691757
1868, -2.743073
1869, -2.777448
1870, -2.813412
1871, -2.814345
1872, -2.778779
1873, -2.742901
1874, -2.790310
1875, -2.773814
1876, -2.698787
1878, -2.672502
1879, -2.679995
1880, -2.710652
1881, -2.695923
1882, -2.748449
1883, -2.793231
1884, -2.763461
1885, -2.749656
1886, -2.765546
1887, -2.777000
1890, -2.759593
1892, -2.750815
1893, -2.723161
1894, -2.734242
1895, -2.783101
1897, -2.763651
1899, -2.771656
1900, -2.755991
1901, -2.723106
1902, -2.771259
1903, -2.730520
1904, -2.759549
1905, -2.769841
1907, -2.808248
1908, -2.784050
1909, -2.798435
1910, -2.733668
1912, -2.714549
1913, -2.699733
1914, -2.691593
1916, -2.665408
1917, -2.663663
1918, -2.636854
1920, -2.664271
1921, -2.663393
1922, -2.762191
1923, -2.762426
1924, -2.825346
1925, -2.837406
1926, -2.772192
1927, -2.703129
1928, -2.637865
1929, -2.586959
1931, -2.558266
1934, -2.515766
1935, -2.561143
1936, -2.553355
1937, -2.616682
1940, -2.601908
1942, -2.590152
1944, -2.546005
1945, -2.551918
1947, -2.572528
1948, -2.539751
1949, -2.610160
1950, -2.640886
1951, -2.715505
1952, -2.716601
1953, -2.680633
1954, -2.729519
1955, -2.731274
1957, -2.671880
1959, -2.628167
1960, -2.684141
1962, -2.898844
1963, -2.759840
1964, -2.857144
1965, -2.958152
1966, -2.802647
1967, -2.637180
1968, -2.688407
1970, -3.045033
1971, -3.364226
1973, -2.560855
1976, -3.415349
1978, -3.555211
1980, -3.500737
1981, -3.377266
1982, -3.536415
1985, -3.878166
1986, -3.569297
1987, -3.029540
1988, -2.765603
1991, -2.957503
1993, -2.920924
1994, -2.880517
1995, -3.208394
1998, -3.013591
1999, -3.077170
2000, -2.958348
2001, -3.274180
2003, -2.796546
2004, -2.759768
2005, -2.603201
2006, -2.714927
2007, -2.596159
2008, -2.578027
2012, -2.625395
2013, -2.594884
2014, -2.711533
2015, -2.800605
2017, -2.740721
2018, -2.764234
2019, -2.678822
2020, -2.664986
2021, -2.641401
2022, -2.698346
2024, -2.709763
2025, -2.736372
2026, -2.785135
2027, -2.838939
2028, -2.940959
2029, -2.831925
2031, -2.751647
2035, -2.703321
2036, -2.824119
2037, -2.871687
2040, -2.837194
2041, -2.844668
2042, -3.034231
2043, -3.150664
2044, -3.056125
2045, -3.126589
2047, -3.100119
2048, -2.928080
2049, -2.639642
2051, -2.786410
2056, -2.765581
2057, -2.742164
2060, -2.824753
2061, -2.684064
2062, -3.018285
2063, -2.675280
2064, -2.601460
2065, -2.563064
2066, -2.591282
2068, -2.552791
2069, -2.332526
2070, -2.355336
2071, -2.397288
2073, -2.367847
2075, -2.367075
2076, -2.496113
2077, -2.827754
2078, -3.308571
2079, -3.468432
2080, -2.775505
2081, -3.105305
2082, -2.543239
2083, -2.492489
2084, -2.420790
2086, -2.499515
2087, -2.407976
2088, -2.371386
2089, -2.390701
2090, -2.460353
2091, -2.387240
2092, -2.375505
2093, -2.508244
2094, -2.601507
2095, -2.578544
2097, -2.513261
2098, -2.565671
2099, -2.575954
2100, -2.577633
2101, -2.512724
2102, -2.525061
2103, -2.580151
2104, -2.598851
2107, -2.669469
2108, -2.618936
2109, -2.686555
2110, -2.763505
2111, -2.742620
2112, -2.866418
2114, -2.845935
2115, -3.016207
2116, -3.032517
2118, -2.983009
2119, -3.042805
2120, -3.146424
2122, -2.990655
2124, -3.155313
2125, -3.052994
2128, -3.306785
2129, -3.403651
2130, -3.141448
2131, -2.974632
2132, -2.759482
2133, -2.793324
2134, -2.680943
2135, -2.708239
2136, -2.685255
2138, -2.826041
2139, -2.982432
2140, -3.315610
2141, -3.093935
2142, -2.915042
2143, -2.718490
2146, -2.674117
