time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
1.230000,154.419369,-2.488232,-0.000000
1.235000,142.486764,-2.271813,-0.000000
1.240000,130.664249,-2.435096,-0.000000
1.245000,118.274986,-2.501074,-0.000000
1.250000,105.455620,-2.606334,-0.000000
1.255000,94.121521,-1.929128,-0.000000
1.260000,83.401791,-2.333829,-0.000000
1.265000,72.146910,-2.158173,-0.000000
1.270000,61.318575,-2.159593,-0.000000
1.275000,51.331116,-1.831616,-0.000000
1.280000,43.367118,-1.356361,-0.000000
1.285000,36.007748,-1.572888,-0.000000
1.290000,27.873306,-1.669132,-0.000000
1.295000,20.486616,-1.287197,-0.000000
1.300000,14.202189,-1.221459,-0.000000
1.305000,7.641127,-1.391819,-0.000000
1.310000,1.631270,-1.015883,-0.000000
1.315000,-3.422994,-1.001445,0.000000
1.320000,-8.378721,-0.977063,0.000000
1.325000,-13.160933,-0.932949,0.000000
1.330000,-17.649260,-0.860738,0.000000
1.335000,-21.467035,-0.668656,0.000000
1.340000,-24.440445,-0.522768,0.000000
1.345000,-27.122146,-0.547979,0.000000
1.350000,-29.916946,-0.568163,0.000000
1.355000,-31.677466,-0.146739,0.000000
1.360000,-32.878992,-0.329597,0.000000
1.365000,-34.057322,-0.146959,0.000000
1.370000,-34.606441,-0.075682,0.000000
1.375000,-34.102652,0.266231,0.000000
1.380000,-32.826529,0.241997,0.000000
1.385000,-31.589961,0.249685,0.000000
1.390000,-30.724475,0.098073,0.000000
1.395000,-29.786691,0.270236,0.000000
1.400000,-28.745164,0.147128,0.000000
1.405000,-27.599984,0.304428,0.000000
1.410000,-25.706440,0.446237,0.000000
1.415000,-23.997210,0.239935,0.000000
1.420000,-21.620042,0.695816,0.000000
1.425000,-18.023784,0.737240,0.000000
1.430000,-13.832195,0.929683,0.000000
1.435000,-9.031819,0.983958,0.000000
1.440000,-4.273886,0.916126,0.000000
1.445000,0.768431,1.091416,-0.000000
1.450000,6.896643,1.347641,-0.000000
1.455000,13.481657,1.282300,-0.000000
1.460000,19.436582,1.099535,-0.000000
1.465000,24.622826,0.974346,-0.000000
1.470000,28.785728,0.695360,-0.000000
1.475000,32.422213,0.755725,-0.000000
1.480000,35.590027,0.516229,-0.000000
1.485000,38.364116,0.590665,-0.000000
1.490000,40.622633,0.319517,-0.000000
1.495000,41.357825,-0.015501,-0.000000
1.500000,40.546741,-0.298860,-0.000000
1.505000,38.963321,-0.330254,-0.000000
1.510000,37.691458,-0.179301,-0.000000
1.515000,36.584856,-0.258436,-0.000000
1.520000,34.314846,-0.635955,-0.000000
1.525000,31.521529,-0.481104,-0.000000
1.530000,29.082433,-0.490498,-0.000000
1.535000,26.757200,-0.437394,-0.000000
1.540000,25.212124,-0.184419,-0.000000
1.545000,25.019839,0.101546,-0.000000
1.550000,25.065285,-0.077571,-0.000000
1.555000,23.759940,-0.432977,-0.000000
1.560000,21.254031,-0.562570,-0.000000
1.565000,19.087382,-0.307618,-0.000000
1.570000,17.601937,-0.284841,-0.000000
1.575000,16.290256,-0.238942,-0.000000
1.580000,14.603481,-0.428528,-0.000000
1.585000,13.165230,-0.151858,-0.000000
1.590000,14.016975,0.476228,-0.000000
1.595000,16.315739,0.442702,-0.000000
1.600000,18.739415,0.523251,-0.000000
1.605000,20.960369,0.367995,-0.000000
1.610000,21.080319,-0.301841,-0.000000
1.615000,20.126136,-0.083545,-0.000000
1.620000,19.111956,-0.314261,-0.000000
1.625000,16.949216,-0.542033,-0.000000
1.630000,13.537008,-0.811914,-0.000000
1.635000,9.930792,-0.631234,-0.000000
1.640000,6.344184,-0.795380,-0.000000
1.645000,2.860470,-0.599620,-0.000000
1.650000,0.022528,-0.534473,-0.000000
1.655000,-3.353094,-0.805668,0.000000
1.660000,-7.521245,-0.856593,0.000000
1.665000,-11.699509,-0.812359,0.000000
1.670000,-15.300184,-0.629858,0.000000
1.675000,-17.995237,-0.451029,0.000000
1.680000,-20.538153,-0.561813,0.000000
1.685000,-22.848154,-0.366100,0.000000
1.690000,-24.546518,-0.314133,0.000000
1.695000,-25.859360,-0.213582,0.000000
1.700000,-26.678374,-0.117019,0.000000
1.705000,-26.261674,0.271986,0.000000
1.710000,-25.740006,-0.056617,0.000000
1.715000,-25.868005,0.002748,0.000000
1.720000,-25.764574,0.036398,0.000000
1.725000,-26.772558,-0.427954,0.000000
1.730000,-29.258141,-0.561841,0.000000
1.735000,-31.665936,-0.404535,0.000000
1.740000,-34.055390,-0.546917,0.000000
1.745000,-36.448647,-0.413282,0.000000
1.750000,-38.128505,-0.262769,0.000000
1.755000,-39.530037,-0.297517,0.000000
1.760000,-39.437623,0.316640,0.000000
1.765000,-37.356190,0.507173,0.000000
1.770000,-35.244716,0.337999,0.000000
1.775000,-34.124708,0.113043,0.000000
1.780000,-34.152533,-0.119815,0.000000
1.785000,-33.950235,0.190872,0.000000
1.790000,-31.587354,0.736381,0.000000
1.795000,-28.014742,0.689038,0.000000
1.800000,-23.982465,0.913006,0.000000
1.805000,-19.213173,0.987219,0.000000
1.810000,-13.641657,1.229068,0.000000
1.815000,-6.929692,1.443328,0.000000
1.820000,-0.176011,1.256382,0.000000
1.825000,6.184542,1.281311,-0.000000
1.830000,12.251085,1.143552,-0.000000
1.835000,17.465630,0.943209,-0.000000
1.840000,22.631975,1.114983,-0.000000
1.845000,27.812168,0.957472,-0.000000
1.850000,32.403142,0.878080,-0.000000
1.855000,36.088425,0.601342,-0.000000
1.860000,39.499221,0.757564,-0.000000
1.865000,42.822491,0.575301,-0.000000
1.870000,45.490889,0.493787,-0.000000
1.875000,47.990165,0.505535,-0.000000
1.880000,49.325248,0.041566,-0.000000
1.885000,49.910196,0.190448,-0.000000
1.890000,50.135594,-0.090810,-0.000000
1.895000,49.422402,-0.188831,-0.000000
1.900000,48.790528,-0.064132,-0.000000
1.905000,47.765816,-0.335431,-0.000000
1.910000,45.702484,-0.481887,-0.000000
1.915000,42.679869,-0.716097,-0.000000
1.920000,39.118352,-0.703458,-0.000000
1.925000,35.734114,-0.646661,-0.000000
1.930000,32.617623,-0.596599,-0.000000
1.935000,30.577257,-0.225627,-0.000000
1.940000,29.513492,-0.198111,-0.000000
1.945000,28.423335,-0.234563,-0.000000
1.950000,27.601263,-0.095696,-0.000000
1.955000,27.346130,-0.007057,-0.000000
1.960000,28.191356,0.336842,-0.000000
1.965000,28.342917,-0.259610,-0.000000
1.970000,27.629808,-0.029518,-0.000000
1.975000,27.197974,-0.138654,-0.000000
1.980000,27.685077,0.322492,-0.000000
1.985000,28.784151,0.122625,-0.000000
1.990000,29.705038,0.243179,-0.000000
1.995000,29.462523,-0.323897,-0.000000
2.000000,26.435746,-0.868543,-0.000000
2.005000,22.379862,-0.751780,-0.000000
2.010000,18.215817,-0.904950,-0.000000
2.015000,14.291042,-0.666585,-0.000000
2.020000,11.153252,-0.586984,-0.000000
2.025000,8.284886,-0.557916,-0.000000
2.030000,4.635249,-0.889614,-0.000000
2.035000,-0.604557,-1.193411,0.000000
2.040000,-6.382845,-1.114624,0.000000
2.045000,-11.795166,-1.047348,0.000000
2.050000,-16.502772,-0.837332,0.000000
2.055000,-20.322151,-0.691456,0.000000
2.060000,-23.696753,-0.657144,0.000000
2.065000,-26.634087,-0.519773,0.000000
2.070000,-28.318251,-0.162835,0.000000
2.075000,-28.468184,0.094973,0.000000
2.080000,-27.057194,0.457389,0.000000
2.085000,-25.167289,0.299571,0.000000
