time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
1.395000,4.276927,-1.098762,-0.000000
1.400000,-0.836712,-0.943136,0.000000
1.405000,-5.612510,-0.962541,0.000000
1.410000,-10.618370,-1.034575,0.000000
1.415000,-15.490115,-0.910763,0.000000
1.420000,-19.822708,-0.819226,0.000000
1.425000,-23.689616,-0.725020,0.000000
1.430000,-27.025400,-0.607535,0.000000
1.435000,-30.050199,-0.600039,0.000000
1.440000,-32.779416,-0.490495,0.000000
1.445000,-35.414816,-0.561115,0.000000
1.450000,-38.641150,-0.725559,0.000000
1.455000,-42.054209,-0.637821,0.000000
1.460000,-44.936443,-0.514089,0.000000
1.465000,-46.825498,-0.242783,0.000000
1.470000,-47.187781,0.094594,0.000000
1.475000,-46.736761,0.084714,0.000000
1.480000,-45.680169,0.334061,0.000000
1.485000,-43.976838,0.344843,0.000000
1.490000,-41.391163,0.683414,0.000000
1.495000,-38.086609,0.635044,0.000000
1.500000,-34.479228,0.802482,0.000000
1.505000,-30.238793,0.888420,0.000000
1.510000,-25.777066,0.891562,0.000000
1.515000,-21.503555,0.814066,0.000000
1.520000,-17.276882,0.871792,0.000000
1.525000,-12.422753,1.063390,0.000000
1.530000,-7.197344,1.022011,0.000000
1.535000,-1.955369,1.069332,0.000000
1.540000,3.124282,0.958659,-0.000000
1.545000,7.465927,0.775521,-0.000000
1.550000,11.248240,0.734317,-0.000000
1.555000,14.658312,0.627592,-0.000000
1.560000,17.097934,0.348567,-0.000000
1.565000,18.578757,0.243536,-0.000000
1.570000,20.059105,0.346635,-0.000000
1.575000,21.581449,0.261913,-0.000000
1.580000,23.211926,0.388022,-0.000000
1.585000,24.842536,0.264114,-0.000000
1.590000,26.357681,0.340273,-0.000000
1.595000,27.697353,0.195985,-0.000000
1.600000,29.184781,0.396334,-0.000000
1.605000,30.914659,0.295318,-0.000000
1.610000,31.775606,0.050823,-0.000000
1.615000,32.251289,0.138767,-0.000000
1.620000,32.984505,0.154218,-0.000000
1.625000,33.351576,-0.005845,-0.000000
1.630000,33.142629,-0.076401,-0.000000
1.635000,33.212290,0.103209,-0.000000
1.640000,33.622319,0.061307,-0.000000
1.645000,33.947928,0.069105,-0.000000
1.650000,33.493125,-0.247366,-0.000000
1.655000,31.897672,-0.387585,-0.000000
1.660000,29.810792,-0.444210,-0.000000
1.665000,27.786526,-0.363795,-0.000000
1.670000,25.714351,-0.461848,-0.000000
1.675000,23.114775,-0.574171,-0.000000
1.680000,20.726497,-0.380169,-0.000000
1.685000,18.636367,-0.452966,-0.000000
1.690000,16.232246,-0.505674,-0.000000
1.695000,13.647459,-0.525381,-0.000000
1.700000,10.892402,-0.573423,-0.000000
1.705000,8.242351,-0.484682,-0.000000
1.710000,5.835972,-0.475551,-0.000000
1.715000,3.179409,-0.583566,-0.000000
1.720000,0.664174,-0.421487,-0.000000
1.725000,-1.491879,-0.438749,0.000000
1.730000,-3.592087,-0.399714,0.000000
1.735000,-5.056360,-0.186485,0.000000
1.740000,-6.316533,-0.315387,0.000000
1.745000,-8.011174,-0.360594,0.000000
1.750000,-9.843719,-0.370743,0.000000
1.755000,-11.570032,-0.318758,0.000000
1.760000,-13.333732,-0.384690,0.000000
1.765000,-15.166507,-0.347229,0.000000
1.770000,-16.870859,-0.333272,0.000000
1.775000,-18.484413,-0.311092,0.000000
1.780000,-19.554824,-0.118002,0.000000
1.785000,-19.891310,-0.017444,0.000000
1.790000,-19.683045,0.099244,0.000000
1.795000,-18.825747,0.241346,0.000000
1.800000,-17.282687,0.373006,0.000000
1.805000,-14.737025,0.640318,0.000000
1.810000,-12.189679,0.378212,0.000000
1.815000,-10.496365,0.298005,0.000000
1.820000,-9.400164,0.140611,0.000000
1.825000,-8.541803,0.201260,0.000000
1.830000,-7.468367,0.226751,0.000000
1.835000,-6.184628,0.284923,0.000000
1.840000,-4.578913,0.355158,0.000000
1.845000,-3.132236,0.223198,0.000000
1.850000,-2.817175,-0.094822,0.000000
1.855000,-3.391902,-0.134240,0.000000
1.860000,-4.120741,-0.156476,0.000000
1.865000,-4.551865,-0.016819,0.000000
1.870000,-5.021905,-0.169532,0.000000
1.875000,-5.915370,-0.186947,0.000000
1.880000,-6.614642,-0.092997,0.000000
1.885000,-6.781450,0.025320,0.000000
1.890000,-7.050037,-0.131282,0.000000
1.895000,-7.319795,0.022216,0.000000
1.900000,-7.224243,0.015851,0.000000
1.905000,-7.218481,-0.013420,0.000000
1.910000,-6.856079,0.156482,0.000000
1.915000,-5.817760,0.256906,0.000000
1.920000,-3.712615,0.580334,0.000000
1.925000,-0.229873,0.807500,0.000000
1.930000,3.817380,0.807590,-0.000000
1.935000,7.537559,0.678143,-0.000000
1.940000,10.448615,0.485300,-0.000000
1.945000,13.309265,0.654998,-0.000000
1.950000,16.617498,0.665311,-0.000000
1.955000,19.734240,0.579451,-0.000000
1.960000,22.039523,0.342820,-0.000000
1.965000,23.800657,0.360185,-0.000000
1.970000,25.940042,0.492815,-0.000000
1.975000,28.234789,0.423928,-0.000000
1.980000,30.183253,0.354668,-0.000000
1.985000,31.130661,0.026673,-0.000000
1.990000,30.985625,-0.083119,-0.000000
1.995000,30.421061,-0.141185,-0.000000
2.000000,29.916111,-0.060515,-0.000000
2.005000,29.475580,-0.114345,-0.000000
2.010000,29.148776,-0.016426,-0.000000
2.015000,28.848318,-0.102277,-0.000000
2.020000,28.089921,-0.199083,-0.000000
2.025000,27.272396,-0.127315,-0.000000
2.030000,25.985748,-0.383521,-0.000000
2.035000,24.562093,-0.185861,-0.000000
2.040000,23.118980,-0.387917,-0.000000
2.045000,20.755919,-0.553309,-0.000000
2.050000,17.273845,-0.833534,-0.000000
2.055000,12.879849,-0.918930,-0.000000
2.060000,8.394992,-0.870995,-0.000000
2.065000,3.930510,-0.910132,-0.000000
2.070000,-0.060069,-0.684200,0.000000
2.075000,-3.000922,-0.491016,0.000000
2.080000,-5.208298,-0.390758,0.000000
2.085000,-6.783998,-0.239409,0.000000
2.090000,-7.553557,-0.069244,0.000000
2.095000,-7.979116,-0.100436,0.000000
2.100000,-8.703496,-0.188020,0.000000
2.105000,-9.496448,-0.129056,0.000000
2.110000,-10.170436,-0.139965,0.000000
2.115000,-11.312411,-0.314434,0.000000
2.120000,-12.840566,-0.295732,0.000000
2.125000,-13.469943,0.041504,0.000000
2.130000,-13.233791,0.052425,0.000000
2.135000,-12.781859,0.127076,0.000000
2.140000,-11.650562,0.322515,0.000000
2.145000,-10.007839,0.332755,0.000000
2.150000,-7.831152,0.534004,0.000000
2.155000,-5.053147,0.574120,0.000000
2.160000,-2.744007,0.349192,0.000000
2.165000,-0.379704,0.592200,0.000000
2.170000,2.693260,0.633737,-0.000000
2.175000,5.188891,0.364496,-0.000000
2.180000,7.173779,0.427144,-0.000000
2.185000,8.618655,0.151899,-0.000000
2.190000,9.415893,0.166264,-0.000000
2.195000,10.713363,0.350095,-0.000000
2.200000,11.978404,0.156546,-0.000000
2.205000,12.405787,0.015396,-0.000000
2.210000,12.893469,0.178038,-0.000000
2.215000,13.637710,0.119661,-0.000000
2.220000,13.354799,-0.229378,-0.000000
2.225000,12.337688,-0.176742,-0.000000
2.230000,10.844802,-0.416773,-0.000000
2.235000,9.069804,-0.292437,-0.000000
2.240000,7.750962,-0.234207,-0.000000
2.245000,5.941762,-0.485514,-0.000000
2.250000,3.210406,-0.603364,-0.000000
2.255000,0.160460,-0.613607,-0.000000
2.260000,-3.168959,-0.714173,0.000000
2.265000,-6.611340,-0.660052,0.000000
2.270000,-9.893565,-0.649943,0.000000
2.275000,-13.597029,-0.826619,0.000000
2.280000,-18.043133,-0.946840,0.000000
2.285000,-22.005899,-0.637456,0.000000
2.290000,-24.985167,-0.552524,0.000000
2.295000,-27.753044,-0.552427,0.000000
2.300000,-29.627331,-0.198971,0.000000
2.305000,-29.936576,0.072781,0.000000
2.310000,-29.250769,0.199341,0.000000
2.315000,-28.494275,0.102892,0.000000
2.320000,-27.893661,0.136049,0.000000
